gene,gene_name,zscore,effect_size,pvalue,var_g,n_snps_used,n_snps_in_model,pred_perf_r2,pred_perf_pval
ENSG00000149485.18,FADS1,-8.076094757823274,-32.337316489896935,6.687392223973846e-16,0.06237274499012309,2,2,,
ENSG00000173653.7,RCE1,-7.753264156726256,-891.4176682660681,8.956004417271094e-15,7.564960873159574e-05,2,3,,
ENSG00000134824.13,FADS2,6.607464246024551,224.33446195965388,3.9095856290791905e-11,0.0008675163220716815,1,1,,
ENSG00000125458.6,NT5C,-6.578949829117817,-47.57762009385543,4.737825908156853e-11,0.019120873163874945,2,2,,
ENSG00000233822.4,HIST1H2BN,6.576395091345791,44.702982369391236,4.8199078675034326e-11,0.021642269297373156,1,1,,
ENSG00000163938.16,GNL3,6.554649872920954,31.633607698010724,5.57725768540118e-11,0.04293401931468427,1,1,,
ENSG00000108039.17,XPNPEP1,6.482061808985656,122.69744813720042,9.047755713455248e-11,0.002790970685978218,1,1,,
ENSG00000272468.1,RP1-86C11.7,6.378977410115935,3405.079537329526,1.7827432817994863e-10,3.5095190711009243e-06,1,1,,
ENSG00000163939.18,PBRM1,-6.0884055051938395,-116.10029345857926,1.1404073003789295e-09,0.0027500494616592274,1,1,,
ENSG00000158748.3,HTR6,6.0645314251110936,43.922256128381434,1.3233890291785413e-09,0.019064491294570936,1,2,,
ENSG00000186470.13,BTN3A2,5.953896780352228,5.698336744228296,2.6183197555644945e-09,1.091707720759528,3,3,,
ENSG00000090263.15,MRPS33,5.758150417495432,41.81807598031552,8.504056249872049e-09,0.01895998181241694,1,1,,
ENSG00000239732.3,TLR9,5.6707635398319685,92.70949260386283,1.4216250012677939e-08,0.0037414045356459116,1,1,,
ENSG00000188886.3,ASTL,5.6430865086382616,2024.0913433041292,1.6702836651302276e-08,7.772723185146077e-06,1,1,,
ENSG00000148700.14,ADD3,5.622576506638001,36.082841854554324,1.8813020356574842e-08,0.02428115142953744,2,2,,
ENSG00000106052.13,TAX1BP1,5.61080013192629,99.72330855774086,2.0139325855993186e-08,0.0031656014735283906,2,2,,
ENSG00000174851.15,YIF1A,5.580150824505766,53.15341047672348,2.4031011349296772e-08,0.01102121829298404,2,2,,
ENSG00000174871.10,CNIH2,-5.569957247036681,-130.5500657851533,2.5480185076044183e-08,0.0018203275138105783,1,2,,
ENSG00000104497.13,SNX16,5.532345834063255,11.00060274173288,3.1597612636664425e-08,0.2529214588164228,2,2,,
ENSG00000168273.7,SMIM4,-5.5237659912534065,-193.81957302473654,3.3180933375788754e-08,0.0008122229912018639,2,2,,
ENSG00000196378.11,ZNF34,-5.514211595046506,-11.753048485730698,3.50346896303414e-08,0.2201231903867251,2,2,,
ENSG00000114904.12,NEK4,5.493269766308844,38.051378513392265,3.9455938373712934e-08,0.0208411204917938,1,1,,
ENSG00000168237.17,GLYCTK,5.459825220455723,18.577563374161123,4.7660353829953674e-08,0.086373392473044,1,2,,
ENSG00000169592.14,INO80E,5.453598842723432,21.299801216677025,4.9360488268377006e-08,0.065556427247031,1,1,,
ENSG00000149930.17,TAOK2,5.439519225675926,207.50615542667313,5.342454412710631e-08,0.0006871618876237026,1,1,,
ENSG00000147724.11,FAM135B,-5.437944003797765,-536.0475623939815,5.389890709700532e-08,0.00010291124008664909,1,1,,
ENSG00000173715.15,C11orf80,5.434861987024297,34.99529682172376,5.4838861344040654e-08,0.024118910017836014,1,2,,
ENSG00000102882.11,MAPK3,5.424778353183851,21.016515557120556,5.8026498796943084e-08,0.06662582036578135,1,1,,
ENSG00000114988.11,LMAN2L,-5.3711769294176825,-29.39096775094087,7.822441164044472e-08,0.03339728360221556,2,2,,
ENSG00000115524.15,SF3B1,5.353908083796188,40.48763560633073,8.60745962583813e-08,0.017486262378325956,1,1,,
ENSG00000247596.8,TWF2,-5.337831369845629,-2728.767454800515,9.40648818171536e-08,3.826455313222535e-06,1,1,,
ENSG00000132604.10,TERF2,-5.272729867536017,-26.79105815248269,1.3440932842100247e-07,0.03873390741724924,1,1,,
ENSG00000180354.15,MTURN,5.210342137960717,150.83889574980282,1.8849270465385684e-07,0.0011931795345381038,1,2,,
ENSG00000237419.1,RP11-885N19.6,-5.1771972617102735,-155.1427740167188,2.2524402486081733e-07,0.0011135925594624044,1,3,,
ENSG00000148408.12,CACNA1B,5.139849148806117,45.326332045879795,2.749591238035724e-07,0.012858774903261769,1,1,,
ENSG00000084090.13,STARD7,-5.139021946713611,-140.03559447131468,2.7617214585554734e-07,0.0013467409506903107,1,2,,
ENSG00000175115.11,PACS1,5.135923915110128,16.73125262380047,2.807612381425259e-07,0.09422805992163338,1,1,,
ENSG00000122574.10,WIPF3,5.113933927048901,28.049373734526576,3.1551775968375727e-07,0.033240219803847164,2,2,,
ENSG00000174547.13,MRPL11,5.10494035630424,58.861247440876106,3.308988649356399e-07,0.0075218110751811,1,1,,
ENSG00000108582.11,CPD,5.104842484895197,42.46372734957061,3.3107016477570623e-07,0.014452017097828897,2,2,,
ENSG00000163888.3,CAMK2N2,4.95159718677882,29.738835074272497,7.360684352288544e-07,0.027723158648344827,2,2,,
ENSG00000276529.1,AP001505.10,-4.868747102680401,-5.150503143459998,1.1230802519778317e-06,0.8935834569410966,2,2,,
ENSG00000152061.23,RABGAP1L,4.840130630177547,72.00510217241514,1.2975381033272773e-06,0.004518430681052386,1,1,,
ENSG00000178209.14,PLEC,-4.824413594923096,-18.19635742734212,1.4041577214942946e-06,0.07029430593902468,1,1,,
ENSG00000113318.9,MSH3,4.8215939163260515,12.02412057250328,1.4241564135123626e-06,0.1607957686026011,2,2,,
ENSG00000214435.7,AS3MT,4.819496053588036,3.737906653510827,1.4392129978019697e-06,1.662441435186274,3,4,,
ENSG00000198315.10,ZKSCAN8,4.811255152687623,20.590422035021458,1.4998539570411137e-06,0.0545992003103145,2,2,,
ENSG00000154945.6,ANKRD40,4.80315731015276,30.08200052114684,1.5618308369053553e-06,0.02549412978406398,2,2,,
ENSG00000159214.12,CCDC24,4.801773934649036,80.30315301541519,1.5726618052176958e-06,0.0035755118704446326,2,2,,
ENSG00000159433.11,STARD9,-4.780842525640017,-166.33502474466658,1.745620630542141e-06,0.0008261168177927674,1,2,,
ENSG00000102984.14,ZNF821,4.772471291133854,551.5107862768708,1.8197905493659517e-06,7.488220561465992e-05,2,2,,
ENSG00000141013.16,GAS8,-4.750946440295014,-5.038645700745756,2.0246675973901387e-06,0.889063182971259,4,5,,
ENSG00000180828.2,BHLHE22,-4.743766766577842,-109.99623318004144,2.0978036939516193e-06,0.0018599061499381627,1,1,,
ENSG00000106327.12,TFR2,4.737341239536316,85.51901790449037,2.16540374067139e-06,0.0030686257719917524,2,2,,
ENSG00000182149.20,IST1,-4.735218853342462,-33.20564321746607,2.188188455471177e-06,0.02033556848590502,1,2,,
ENSG00000239389.7,PCDHA13,-4.683036669205839,-7.400119497227826,2.8265592398889977e-06,0.40047706669281513,1,1,,
ENSG00000182791.4,CCDC87,-4.675918485145233,-91.51418548146333,2.9264084122494576e-06,0.0026107003403890282,1,1,,
ENSG00000196345.12,ZKSCAN7,-4.671351295065348,-38.22613351704409,2.9922468567807993e-06,0.014933593035081008,1,2,,
